id,name,address,contact_number,rating,review_count,location_gps,google_place_id,created_at,updated_at,website_url,has_menu,country,city,is_active,is_onboarded,momo_code,revolut_link,categories,features
,Aqualuna Lido,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Bistro 516,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Black Bull,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Brownâ€™s Kitchen,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Bus Stop Lounge,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Cafe Cuba St Julians,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Cuba Campus Hub,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Cuba Shoreline,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Doma Marsascala,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Exiles,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Felice Brasserie,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Fortizza,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,House of Flavors,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Kings Gate,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Mamma Mia,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Medasia Fusion Lounge,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Okurama Asian Fusion,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Paparazzi 29,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Peperino Pizza Cucina Verace,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Restaurant Name,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Sakura Japanese Cuisine Lounge,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Spinola Cafe Lounge St Julians,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Surfside,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Tex Mex American Bar Grill Paceville,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,The Brew Bar Grill,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,The Londoner British Pub Sliema,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Victoria Gastro Pub,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
,Zion Reggae Bar,,,,,,,2025-07-07 16:59:37,2025-07-07 16:59:37,,,Malta,,TRUE,FALSE,,,,
